ID,Name,Email,GP2_cohort_1,GP2_cohort_2,GP2_cohort_3,N_cohorts_submitted,1_Trial_capability,2_Site_involved_in_trials,3_Site_name,Region,4_Single_vs_multi_centre,5_Actively_recruiting,6_Names_Trials_Engaged,7_Industry_contact_consent,8_Biomarkers_collecting,8_Biomarkers_collecting_MRI,8_Biomarkers_collecting_PETscan,8_Biomarkers_collecting_DATscan,8_Biomarkers_collecting_Blood_Plasma_Serum,8_Biomarkers_collecting_CSF,8_Biomarkers_collecting_Skin_biopsy,8_Biomarkers_collecting_Brain,8_Biomarkers_collecting_Smell_testing,8_Biomarkers_collecting_Not_sure,8_Biomarkers_collecting_Other,9_Biomarkers_possible,9_Biomarkers_possible_MRI ,9_Biomarkers_possible_PETscan,9_Biomarkers_possible_DATscan,9_Biomarkers_possible_Blood_Plasma_Serum,9_Biomarkers_possible_CSF,9_Biomarkers_possible_Skin_biopsy, 9_Biomarkers_possible_Brain,9_Biomarkers_possible_Smell_testing,9_Biomarkers_possible_Other,10_SAA_generated
PI-20,redacted,redacted,redacted,NA,NA,1,My centre has drug trials infrastructure and we would like to be involved in future trials,Yes,redacted,MDE,Single Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"MRI, Blood for Plasma/Seurm",Yes,No,No,Yes,No,No,No,No,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, Skin biopsy, Smell testing",Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
PI-21,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Single Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"MRI, Blood for Plasma/Seurm, CSF, Smell testing, Olfactory mucosa",Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,"PETscan, DATscan, Skin biopsy, Smell testing",No,Yes,Yes,No,No,Yes,No,Yes,No,No
PI-22,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Single Centre,Yes,redacted,Yes,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
PI-23,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,MDE,Multi-Centre,Yes,redacted,Yes,Blood for Plasma/Seurm,No,No,No,Yes,No,No,No,No,No,No,"MRI, PETscan, Blood for Plasma/Seurm, CSF",Yes,Yes,No,Yes,Yes,No,No,No,No,No
PI-24,redacted,redacted,redacted,NA,NA,1,My centre has drug trials infrastructure and we would like to be involved in future trials,No,redacted,EUR,Single Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"MRI, DATscan, Blood for Plasma/Seurm",Yes,No,Yes,Yes,No,No,No,No,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
PI-25,redacted,redacted,redacted,NA,NA,1,We do not have capacity to be involved in drug trials,No,redacted,NAMR,Multi-Centre,NA,NONE / PREFER NOT TO ANSWER,No,Blood for Plasma/Seurm,No,No,No,Yes,No,No,No,No,No,No,Blood for Plasma/Seurm,No,No,No,Yes,No,No,No,No,No,No
PI-26,redacted,redacted,redacted,NA,NA,1,We do not have capacity to be involved in drug trials,No,redacted,NAMR,Single Centre,No,NONE / PREFER NOT TO ANSWER,No,"Blood for Plasma/Seurm, Skin biopsy",No,No,No,Yes,No,Yes,No,No,No,No,"Blood for Plasma/Seurm, Skin biopsy",No,No,No,Yes,No,Yes,No,No,No,Not sure
PI-27,redacted,redacted,redacted,NA,NA,1,My centre has drug trials infrastructure and we would like to be involved in future trials,Yes,redacted,ASIA,Single Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"MRI, Blood for Plasma/Seurm, CSF, Skin biopsy",Yes,No,No,Yes,Yes,Yes,No,No,No,No,"PETscan, DATscan",No,Yes,Yes,No,No,No,No,No,No,No
PI-28,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Single Centre,Yes,redacted,Yes,"MRI, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
PI-29,redacted,redacted,redacted,NA,NA,1,My centre has drug trials infrastructure and we would like to be involved in future trials,Not sure,redacted,EUR,Multi-Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"MRI, DATscan, Blood for Plasma/Seurm, CSF",Yes,No,Yes,Yes,Yes,No,No,No,No,No,"MRI, DATscan, Blood for Plasma/Seurm, CSF",Yes,No,Yes,Yes,Yes,No,No,No,No,No
